CountryCode,SeriesCode,DESCRIPTION
"ABW","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
"ABW","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ABW","IT.CEL.SETS.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","SP.DYN.CBRT.IN","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ABW","IT.NET.BBND.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ABW","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"ABW","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ABW","SM.POP.TOTL.ZS","For statistical purposes, the international migrant population  includes persons born in the Netherlands, Bonaire, Sint Eustatius and Saba, Curacao, and Sint Maarten (Dutch part)."
"ABW","IT.MLT.MAIN.P2","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","IT.MLT.MAIN","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ABW","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ABW","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ABW","SM.POP.TOTL","For statistical purposes, the international migrant population  includes persons born in the Netherlands, Bonaire, Sint Eustatius and Saba, Curacao, and Sint Maarten (Dutch part)."
"ABW","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders."
"ABW","SP.POP.TOTL","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ABW","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ABW","SP.POP.GROW","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","IT.CEL.SETS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ABW","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"ABW","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ABW","IT.NET.USER.ZS","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","IT.NET.BBND","Servicio di Telecomunicacion di Aruba (SETAR). Directorate of Telecommunication Affairs Aruba"
"ABW","SP.DYN.CDRT.IN","Data source: Central Bureau of Statistics, United Nations World Population Prospects"
"ABW","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ABW","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AFG","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AFG","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"AFG","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists)."
"AFG","NE.CON.PRVT.PP.CD","Estimates are based on regression."
"AFG","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"AFG","IT.MLT.MAIN","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AFG","MS.MIL.XPND.ZS","2004 SIPRI estimates."
"AFG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"AFG","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"AFG","NY.GDP.MKTP.PP.CD","Estimates are based on regression."
"AFG","IT.NET.BBND","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","NY.GDP.MKTP.PP.KD","Estimates are based on regression."
"AFG","EG.ELC.RNEW.ZS","Sources: UN Energy Statistics (2014)"
"AFG","NY.GDP.PCAP.PP.CD","Estimates are based on regression."
"AFG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AFG","IT.CEL.SETS.P2","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)"
"AFG","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AFG","NE.CON.PRVT.PP.KD","Estimates are based on regression."
"AFG","NY.GDP.PCAP.PP.KD","Estimates are based on regression."
"AFG","NY.GNP.PCAP.PP.KD","Estimates are based on regression."
"AFG","NY.GNP.MKTP.PP.KD","Estimates are based on regression."
"AFG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AFG","NY.GNP.PCAP.PP.CD","Estimates are based on regression."
"AFG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"AFG","NY.GNP.MKTP.PP.CD","Estimates are based on regression."
"AFG","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"AFG","DT.DOD.DECT.CD","Long-term public and publicly guaranteed, long-term private nonguaranteed and short-term debt data for 2024 are World Bank staff estimates. Short-term debt before 2015 is based on data from the BIS. Data include the effects of Paris Club debt restructuring agreements signed in 2010 and HIPC and MDRI debt relief. DSSI eligible and participating in 2020 and 2021."
"AFG","IT.NET.BBND.P2","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","MS.MIL.XPND.GD.ZS","2004 SIPRI estimates."
"AFG","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AFG","MS.MIL.XPND.CN","2004 SIPRI estimates."
"AFG","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AFG","IT.MLT.MAIN.P2","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AFG","IT.NET.USER.ZS","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","SM.POP.NETM","Data source: United Nations World Population Prospects"
"AFG","MS.MIL.XPND.CD","2004 SIPRI estimates."
"AFG","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"AFG","IT.CEL.SETS","Ministry of Communications. Ministry of Communications & Information Technology"
"AFG","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"AFG","SP.POP.GROW","Data source: United Nations World Population Prospects"
"AGO","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AGO","IT.NET.BBND","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"AGO","ST.INT.DPRT","Includes overnight visitors (tourists) only."
"AGO","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"AGO","IT.NET.USER.ZS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","IT.CEL.SETS","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","SP.POP.GROW","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"AGO","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database. 1995-2001: country data."
"AGO","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"AGO","ST.INT.ARVL","Includes overnight visitors (tourists) only. Arrivals of non-resident tourists at national borders."
"AGO","SM.POP.NETM","Data source: United Nations World Population Prospects"
"AGO","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"AGO","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AGO","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"AGO","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"AGO","IT.NET.BBND.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","IT.CEL.SETS.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"AGO","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"AGO","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AGO","DT.DOD.DECT.CD","Long-term public and publicly guaranteed debt data for 2024 are based on reports provided by the country. Short-term debt and long-term private nonguaranteed debt data for 2024 are sourced from the National Bank of Angola. DSSI eligible and participating in 2020, 2021 and 2022."
"AGO","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"AGO","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AGO","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"AGO","IT.MLT.MAIN","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"AGO","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AGO","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"AGO","IT.MLT.MAIN.P2","Empresa de Telecommunicações de Angola. From 2004: Angolan Institute of Communications."
"ALB","IT.CEL.SETS.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ALB","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ALB","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ALB","IT.NET.BBND.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","DT.DOD.DECT.CD","Long-term public and publicly guaranteed and long-term private nonguaranteed debt data for 2024 are based on reports provided by the country. Short-term debt data for 2024 are sourced by the Quarterly External Debt Statistics database (http://datatopics.worldbank.org/debt/qeds)."
"ALB","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects"
"ALB","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ALB","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects"
"ALB","IT.MLT.MAIN","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Excluding nationals residing abroad. Including in transit visitors."
"ALB","IS.RRS.GOOD.MT.K6","Source: OECD"
"ALB","IT.MLT.MAIN.P2","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SP.POP.TOTL","Data source: Institute of Statistics, Eurostat"
"ALB","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","IT.NET.BBND","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","SP.POP.GROW","Data source: Institute of Statistics, Eurostat"
"ALB","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ALB","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ALB","IS.RRS.PASG.KM","Source: OECD"
"ALB","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"ALB","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects"
"ALB","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists)."
"ALB","IT.CEL.SETS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"ALB","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ALB","IT.NET.USER.ZS","Albanian Telecom Enterprise. From 2003: Ministry of Transport and Telecommunications. Minister of State for the Reforms and the Relation with the Parliament"
"AND","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","SP.DYN.TFRT.IN","Data source: Eurostat"
"AND","SP.DYN.CDRT.IN","Data source: Eurostat"
"AND","SP.DYN.CBRT.IN","Data source: Eurostat"
"AND","ST.INT.TVLX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"AND","ST.INT.ARVL","Includes overnight visitors (tourists) and same-day visitors (excursionists). Arrivals of non-resident visitors at national borders. Since May 2009 a new methodology has been applied and therefore, the information is not comparable to previous years."
"AND","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","SP.POP.GROW","Data source: United Nations World Population Prospects"
"AND","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database."
"AND","SP.POP.TOTL","Data source: United Nations World Population Prospects"
"ARE","IT.CEL.SETS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","CM.MKT.TRNR","Method of calculation: Total domestic value of share trading of Abu Dhabi Serurities Market and Dubai Financial Market divided by total domestic market capitalization of the two exchanges."
"ARE","IT.MLT.MAIN.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ARE","SM.POP.NETM","Data source: United Nations World Population Prospects"
"ARE","MS.MIL.XPND.CN","1997-2014 SIPRI estimates."
"ARE","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects"
"ARE","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects"
"ARE","MS.MIL.XPND.CD","1997-2014 SIPRI estimates."
"ARE","SP.POP.GROW","Data source: Federal Competitiveness and Statistics Centre, United Nations World Population Prospects"
"ARE","IT.NET.BBND.P2","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","BX.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database."
"ARE","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects"
"ARE","IT.NET.USER.ZS","Emirates Telecommunications Corporation (ETISALAT). From 2006: Telecommunications Regulatory Authority."
"ARE","ST.INT.XPND.CD","Compiled from data reported by the Central Bank. Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities. Source: Central Bank of the U.A.E."
"ARE","SP.POP.TOTL","Data source: Federal Competitiveness and Statistics Centre, United Nations World Population Prospects"
"ARE","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)"
"ARE","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects"
"ARE","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)"
"ARE","ST.INT.DPRT","Includes overnight visitors (tourists) and same-day visitors (excursionists). Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities."
